Postcode,Country Code,Gma,GmaCanonicalName,CityCanonicalName
4054,US,500,"Portland,Maine,United States","Wells,Maine,United States"
4055,US,500,"Portland,Maine,United States","Naples,Maine,United States"
4056,US,500,"Portland,Maine,United States","Newfield,Maine,United States"
4057,US,500,"Portland,Maine,United States","Bridgton,Maine,United States"
4061,US,500,"Portland,Maine,United States","Waterboro,Maine,United States"
4062,US,500,"Portland,Maine,United States","Windham,Maine,United States"
4063,US,500,"Portland,Maine,United States","Old Orchard Beach,Maine,United States"
4064,US,500,"Portland,Maine,United States","Old Orchard Beach,Maine,United States"
4066,US,500,"Portland,Maine,United States","Harpswell,Maine,United States"
4068,US,500,"Portland,Maine,United States","Porter,Maine,United States"
4069,US,500,"Portland,Maine,United States","Pownal,Maine,United States"
4070,US,500,"Portland,Maine,United States","Scarborough,Maine,United States"
4071,US,500,"Portland,Maine,United States","Raymond,Maine,United States"
4072,US,500,"Portland,Maine,United States","Saco,Maine,United States"
4073,US,500,"Portland,Maine,United States","Sanford,Maine,United States"
4074,US,500,"Portland,Maine,United States","Scarborough,Maine,United States"
4076,US,500,"Portland,Maine,United States","Shapleigh,Maine,United States"
4077,US,500,"Portland,Maine,United States","Casco,Maine,United States"
4078,US,500,"Portland,Maine,United States","Freeport,Maine,United States"
4079,US,500,"Portland,Maine,United States","Harpswell,Maine,United States"
4082,US,500,"Portland,Maine,United States","Windham,Maine,United States"
4083,US,500,"Portland,Maine,United States","Sanford,Maine,United States"
4084,US,500,"Portland,Maine,United States","Standish,Maine,United States"
4085,US,500,"Portland,Maine,United States","Standish,Maine,United States"
4086,US,500,"Portland,Maine,United States","Topsham,Maine,United States"
4087,US,500,"Portland,Maine,United States","Waterboro,Maine,United States"
4088,US,500,"Portland,Maine,United States","Waterford,Maine,United States"
4090,US,500,"Portland,Maine,United States","Wells,Maine,United States"
4091,US,500,"Portland,Maine,United States","Baldwin,Maine,United States"
4092,US,500,"Portland,Maine,United States","Westbrook,Maine,United States"
4093,US,500,"Portland,Maine,United States","Buxton,Maine,United States"
4094,US,500,"Portland,Maine,United States","Kennebunk,Maine,United States"
4095,US,500,"Portland,Maine,United States","Newfield,Maine,United States"
4096,US,500,"Portland,Maine,United States","Yarmouth,Maine,United States"
4097,US,500,"Portland,Maine,United States","North Yarmouth,Maine,United States"
4098,US,500,"Portland,Maine,United States","Westbrook,Maine,United States"
4101,US,500,"Portland,Maine,United States","Portland,Maine,United States"
4102,US,500,"Portland,Maine,United States","Portland,Maine,United States"
4103,US,500,"Portland,Maine,United States","Portland,Maine,United States"
4104,US,500,"Portland,Maine,United States","Portland,Maine,United States"
4105,US,500,"Portland,Maine,United States","Falmouth,Maine,United States"
4106,US,500,"Portland,Maine,United States","South Portland,Maine,United States"
4107,US,500,"Portland,Maine,United States","Cape Elizabeth,Maine,United States"
4108,US,500,"Portland,Maine,United States","Portland,Maine,United States"
4109,US,500,"Portland,Maine,United States","Portland,Maine,United States"
4110,US,500,"Portland,Maine,United States","Portland,Maine,United States"
4112,US,500,"Portland,Maine,United States","Portland,Maine,United States"
4116,US,500,"Portland,Maine,United States","South Portland,Maine,United States"
4122,US,500,"Portland,Maine,United States","Portland,Maine,United States"
4123,US,500,"Portland,Maine,United States","Portland,Maine,United States"
4124,US,500,"Portland,Maine,United States","Portland,Maine,United States"
4210,US,500,"Portland,Maine,United States","Auburn,Maine,United States"
4211,US,500,"Portland,Maine,United States","Auburn,Maine,United States"
4212,US,500,"Portland,Maine,United States","Auburn,Maine,United States"
4216,US,500,"Portland,Maine,United States","Andover,Maine,United States"
4217,US,500,"Portland,Maine,United States","Bethel,Maine,United States"
4219,US,500,"Portland,Maine,United States","Woodstock,Maine,United States"
4220,US,500,"Portland,Maine,United States","Buckfield,Maine,United States"
4221,US,500,"Portland,Maine,United States","Canton,Maine,United States"
4222,US,500,"Portland,Maine,United States","Durham,Maine,United States"
4223,US,500,"Portland,Maine,United States","Auburn,Maine,United States"
4224,US,500,"Portland,Maine,United States","Dixfield,Maine,United States"
4225,US,500,"Portland,Maine,United States","Wilton,Maine,United States"
4226,US,500,"Portland,Maine,United States","Andover,Maine,United States"
4227,US,500,"Portland,Maine,United States","Wilton,Maine,United States"
4228,US,500,"Portland,Maine,United States","Livermore Falls,Maine,United States"
4230,US,500,"Portland,Maine,United States","Poland,Maine,United States"
4234,US,500,"Portland,Maine,United States","Wilton,Maine,United States"
4236,US,500,"Portland,Maine,United States","Greene,Maine,United States"
4237,US,500,"Portland,Maine,United States","Bethel,Maine,United States"
4238,US,500,"Portland,Maine,United States","Hebron,Maine,United States"
4239,US,500,"Portland,Maine,United States","Jay,Maine,United States"
4240,US,500,"Portland,Maine,United States","Lewiston,Maine,United States"
4241,US,500,"Portland,Maine,United States","Lewiston,Maine,United States"
