Postcode,CountryCode,Gma,GmaCanonicalName
63108,US,609,"St. Louis,MO"
63109,US,609,"St. Louis,MO"
53783,US,669,"Madison,WI"
90712,US,803,"Los Angeles,CA"
53788,US,669,"Madison,WI"
90713,US,803,"Los Angeles,CA"
90716,US,803,"Los Angeles,CA"
90715,US,803,"Los Angeles,CA"
90717,US,803,"Los Angeles,CA"
65770,US,619,"Springfield,MO"
65772,US,619,"Springfield,MO"
63110,US,609,"St. Louis,MO"
65771,US,619,"Springfield,MO"
63111,US,609,"St. Louis,MO"
65774,US,619,"Springfield,MO"
63112,US,609,"St. Louis,MO"
65773,US,619,"Springfield,MO"
63113,US,609,"St. Louis,MO"
90710,US,803,"Los Angeles,CA"
63114,US,609,"St. Louis,MO"
65775,US,619,"Springfield,MO"
63115,US,609,"St. Louis,MO"
65778,US,619,"Springfield,MO"
63116,US,609,"St. Louis,MO"
65777,US,619,"Springfield,MO"
63117,US,609,"St. Louis,MO"
63118,US,609,"St. Louis,MO"
65779,US,619,"Springfield,MO"
63119,US,609,"St. Louis,MO"
53792,US,669,"Madison,WI"
90701,US,803,"Los Angeles,CA"
90703,US,803,"Los Angeles,CA"
16803,US,574,"Johnstown-Altoona,PA"
90704,US,803,"Los Angeles,CA"
16802,US,574,"Johnstown-Altoona,PA"
16801,US,574,"Johnstown-Altoona,PA"
90706,US,803,"Los Angeles,CA"
65781,US,619,"Springfield,MO"
63120,US,609,"St. Louis,MO"
65783,US,619,"Springfield,MO"
63121,US,609,"St. Louis,MO"
75109,US,623,"Dallas-Ft. Worth,TX"
63122,US,609,"St. Louis,MO"
65785,US,619,"Springfield,MO"
63123,US,609,"St. Louis,MO"
65784,US,619,"Springfield,MO"
90740,US,803,"Los Angeles,CA"
63124,US,609,"St. Louis,MO"
65787,US,619,"Springfield,MO"
63125,US,609,"St. Louis,MO"
65786,US,619,"Springfield,MO"
75105,US,623,"Dallas-Ft. Worth,TX"
63126,US,609,"St. Louis,MO"
65789,US,619,"Springfield,MO"
75104,US,623,"Dallas-Ft. Worth,TX"
63127,US,609,"St. Louis,MO"
65788,US,619,"Springfield,MO"
75103,US,623,"Dallas-Ft. Worth,TX"
63128,US,609,"St. Louis,MO"
75102,US,623,"Dallas-Ft. Worth,TX"
63129,US,609,"St. Louis,MO"
75101,US,623,"Dallas-Ft. Worth,TX"
63130,US,609,"St. Louis,MO"
65791,US,619,"Springfield,MO"
63131,US,609,"St. Louis,MO"
63132,US,609,"St. Louis,MO"
65793,US,619,"Springfield,MO"
63133,US,609,"St. Louis,MO"
75119,US,623,"Dallas-Ft. Worth,TX"
63134,US,609,"St. Louis,MO"
63135,US,609,"St. Louis,MO"
75117,US,623,"Dallas-Ft. Worth,TX"
90732,US,803,"Los Angeles,CA"
63136,US,609,"St. Louis,MO"
75116,US,623,"Dallas-Ft. Worth,TX"
90731,US,803,"Los Angeles,CA"
63137,US,609,"St. Louis,MO"
75115,US,623,"Dallas-Ft. Worth,TX"
63138,US,609,"St. Louis,MO"
75114,US,623,"Dallas-Ft. Worth,TX"
63139,US,609,"St. Louis,MO"
75110,US,623,"Dallas-Ft. Worth,TX"
90723,US,803,"Los Angeles,CA"
65790,US,619,"Springfield,MO"
63140,US,609,"St. Louis,MO"
63141,US,609,"St. Louis,MO"
63143,US,609,"St. Louis,MO"
63144,US,609,"St. Louis,MO"
63145,US,609,"St. Louis,MO"
63146,US,609,"St. Louis,MO"
63147,US,609,"St. Louis,MO"
75127,US,623,"Dallas-Ft. Worth,TX"
75126,US,623,"Dallas-Ft. Worth,TX"
75125,US,623,"Dallas-Ft. Worth,TX"
75124,US,623,"Dallas-Ft. Worth,TX"
75121,US,623,"Dallas-Ft. Worth,TX"
87116,US,790,"Albuquerque-Santa Fe,NM"
90755,US,803,"Los Angeles,CA"
87113,US,790,"Albuquerque-Santa Fe,NM"
87114,US,790,"Albuquerque-Santa Fe,NM"
87111,US,790,"Albuquerque-Santa Fe,NM"
87112,US,790,"Albuquerque-Santa Fe,NM"
87110,US,790,"Albuquerque-Santa Fe,NM"
75137,US,623,"Dallas-Ft. Worth,TX"
75135,US,623,"Dallas-Ft. Worth,TX"
75134,US,623,"Dallas-Ft. Worth,TX"
87108,US,790,"Albuquerque-Santa Fe,NM"
87109,US,790,"Albuquerque-Santa Fe,NM"
87106,US,790,"Albuquerque-Santa Fe,NM"
87107,US,790,"Albuquerque-Santa Fe,NM"
87104,US,790,"Albuquerque-Santa Fe,NM"
90745,US,803,"Los Angeles,CA"
87105,US,790,"Albuquerque-Santa Fe,NM"
90744,US,803,"Los Angeles,CA"
87102,US,790,"Albuquerque-Santa Fe,NM"
90747,US,803,"Los Angeles,CA"
90746,US,803,"Los Angeles,CA"
87101,US,790,"Albuquerque-Santa Fe,NM"
99119,US,881,"Spokane,WA"
63167,US,609,"St. Louis,MO"
99118,US,881,"Spokane,WA"
75149,US,623,"Dallas-Ft. Worth,TX"
75148,US,623,"Dallas-Ft. Worth,TX"
99115,US,819,"Seattle-Tacoma,WA"
75147,US,623,"Dallas-Ft. Worth,TX"
99114,US,881,"Spokane,WA"
75146,US,623,"Dallas-Ft. Worth,TX"
99117,US,881,"Spokane,WA"
99116,US,881,"Spokane,WA"
75144,US,623,"Dallas-Ft. Worth,TX"
99111,US,881,"Spokane,WA"
75143,US,623,"Dallas-Ft. Worth,TX"
99110,US,881,"Spokane,WA"
75142,US,623,"Dallas-Ft. Worth,TX"
99113,US,881,"Spokane,WA"
75141,US,623,"Dallas-Ft. Worth,TX"
75140,US,623,"Dallas-Ft. Worth,TX"
99107,US,881,"Spokane,WA"
99109,US,881,"Spokane,WA"
75159,US,623,"Dallas-Ft. Worth,TX"
75158,US,623,"Dallas-Ft. Worth,TX"
99103,US,881,"Spokane,WA"
75157,US,623,"Dallas-Ft. Worth,TX"
75156,US,623,"Dallas-Ft. Worth,TX"
99105,US,881,"Spokane,WA"
75155,US,623,"Dallas-Ft. Worth,TX"
75154,US,623,"Dallas-Ft. Worth,TX"
75153,US,623,"Dallas-Ft. Worth,TX"
99102,US,881,"Spokane,WA"
75152,US,623,"Dallas-Ft. Worth,TX"
99101,US,881,"Spokane,WA"
75150,US,623,"Dallas-Ft. Worth,TX"
87124,US,790,"Albuquerque-Santa Fe,NM"
87122,US,790,"Albuquerque-Santa Fe,NM"
87123,US,790,"Albuquerque-Santa Fe,NM"
87120,US,790,"Albuquerque-Santa Fe,NM"
87121,US,790,"Albuquerque-Santa Fe,NM"
2109,US,506,"Boston,MA-Manchester,NH"
16750,US,514,"Buffalo,NY"
28734,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
41712,US,541,"Lexington,KY"
4768,US,552,"Presque Isle,ME"
28735,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
4769,US,552,"Presque Isle,ME"
28732,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
28733,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
2108,US,506,"Boston,MA-Manchester,NH"
4763,US,552,"Presque Isle,ME"
4764,US,552,"Presque Isle,ME"
28739,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
4765,US,537,"Bangor,ME"
28736,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
41714,US,531,"Tri-Cities,TN-VA"
4766,US,552,"Presque Isle,ME"
4760,US,552,"Presque Isle,ME"
4761,US,552,"Presque Isle,ME"
4762,US,552,"Presque Isle,ME"
28730,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
28731,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
53705,US,669,"Madison,WI"
53706,US,669,"Madison,WI"
53703,US,669,"Madison,WI"
53704,US,669,"Madison,WI"
14101,US,514,"Buffalo,NY"
4756,US,552,"Presque Isle,ME"
28745,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
41701,US,541,"Lexington,KY"
4757,US,552,"Presque Isle,ME"
28746,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
4758,US,552,"Presque Isle,ME"
28743,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
28747,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
28748,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
4750,US,552,"Presque Isle,ME"
4751,US,552,"Presque Isle,ME"
28741,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
28742,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
28740,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
14105,US,514,"Buffalo,NY"
53713,US,669,"Madison,WI"
14102,US,514,"Buffalo,NY"
14103,US,538,"Rochester,NY"
53711,US,669,"Madison,WI"
14108,US,514,"Buffalo,NY"
53716,US,669,"Madison,WI"
53717,US,669,"Madison,WI"
53714,US,669,"Madison,WI"
53715,US,669,"Madison,WI"
28718,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
53718,US,669,"Madison,WI"
28719,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
53719,US,669,"Madison,WI"
2126,US,506,"Boston,MA-Manchester,NH"
28712,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
2125,US,506,"Boston,MA-Manchester,NH"
28713,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
2124,US,506,"Boston,MA-Manchester,NH"
28711,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
65702,US,619,"Springfield,MO"
4785,US,552,"Presque Isle,ME"
28716,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
65705,US,619,"Springfield,MO"
2129,US,506,"Boston,MA-Manchester,NH"
4786,US,552,"Presque Isle,ME"
28717,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
65704,US,619,"Springfield,MO"
2128,US,506,"Boston,MA-Manchester,NH"
4787,US,552,"Presque Isle,ME"
28714,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
